--------------------epoch: 0--------------------
Training start ...
*[Iter]: 049 [Acc@1]: 10.156%  [Acc@5]: 27.344%  [Loss]: 3.90361.
*[Iter]: 050 [Acc@1]: 3.125%  [Acc@5]: 21.875%  [Loss]: 4.03983.
*[Iter]: 051 [Acc@1]: 10.156%  [Acc@5]: 30.469%  [Loss]: 3.86994.
*[Iter]: 052 [Acc@1]: 7.812%  [Acc@5]: 25.000%  [Loss]: 4.02802.
*[Iter]: 053 [Acc@1]: 8.594%  [Acc@5]: 32.812%  [Loss]: 3.82234.
*[Iter]: 054 [Acc@1]: 13.281%  [Acc@5]: 30.469%  [Loss]: 3.78985.
*[Iter]: 055 [Acc@1]: 7.812%  [Acc@5]: 24.219%  [Loss]: 3.92906.
*[Iter]: 056 [Acc@1]: 12.500%  [Acc@5]: 31.250%  [Loss]: 3.71066.
*[Iter]: 057 [Acc@1]: 9.375%  [Acc@5]: 27.344%  [Loss]: 3.92391.
*[Iter]: 058 [Acc@1]: 7.812%  [Acc@5]: 27.344%  [Loss]: 3.84733.
*[Iter]: 059 [Acc@1]: 7.812%  [Acc@5]: 28.906%  [Loss]: 3.90801.
*[Iter]: 060 [Acc@1]: 10.156%  [Acc@5]: 30.469%  [Loss]: 3.78748.
*[Iter]: 061 [Acc@1]: 11.719%  [Acc@5]: 35.156%  [Loss]: 3.80059.
*[Iter]: 062 [Acc@1]: 7.812%  [Acc@5]: 35.938%  [Loss]: 3.82688.
*[Iter]: 063 [Acc@1]: 10.156%  [Acc@5]: 33.594%  [Loss]: 3.65724.
*[Iter]: 064 [Acc@1]: 7.031%  [Acc@5]: 29.688%  [Loss]: 3.84809.
*[Iter]: 065 [Acc@1]: 10.156%  [Acc@5]: 29.688%  [Loss]: 3.81733.
*[Iter]: 066 [Acc@1]: 8.594%  [Acc@5]: 37.500%  [Loss]: 3.80705.
*[Iter]: 067 [Acc@1]: 7.812%  [Acc@5]: 31.250%  [Loss]: 3.81562.
*[Iter]: 068 [Acc@1]: 7.812%  [Acc@5]: 27.344%  [Loss]: 3.82123.
*[Iter]: 069 [Acc@1]: 10.156%  [Acc@5]: 42.969%  [Loss]: 3.53030.
*[Iter]: 070 [Acc@1]: 7.812%  [Acc@5]: 35.938%  [Loss]: 3.73961.
*[Iter]: 071 [Acc@1]: 9.375%  [Acc@5]: 34.375%  [Loss]: 3.67150.
*[Iter]: 072 [Acc@1]: 10.156%  [Acc@5]: 33.594%  [Loss]: 3.87003.
*[Iter]: 073 [Acc@1]: 14.062%  [Acc@5]: 32.031%  [Loss]: 3.66367.
*[Iter]: 074 [Acc@1]: 7.031%  [Acc@5]: 32.031%  [Loss]: 3.78732.
*[Iter]: 075 [Acc@1]: 10.156%  [Acc@5]: 24.219%  [Loss]: 4.03286.
*[Iter]: 076 [Acc@1]: 13.281%  [Acc@5]: 37.500%  [Loss]: 3.61887.
*[Iter]: 077 [Acc@1]: 10.938%  [Acc@5]: 24.219%  [Loss]: 3.78150.
*[Iter]: 078 [Acc@1]: 9.375%  [Acc@5]: 32.031%  [Loss]: 3.75139.
*[Iter]: 079 [Acc@1]: 10.156%  [Acc@5]: 38.281%  [Loss]: 3.81406.
*[Iter]: 080 [Acc@1]: 8.594%  [Acc@5]: 33.594%  [Loss]: 3.83131.
*[Iter]: 081 [Acc@1]: 10.938%  [Acc@5]: 32.031%  [Loss]: 3.72943.
*[Iter]: 082 [Acc@1]: 7.812%  [Acc@5]: 28.906%  [Loss]: 3.77813.
*[Iter]: 083 [Acc@1]: 9.375%  [Acc@5]: 29.688%  [Loss]: 3.79426.
*[Iter]: 084 [Acc@1]: 10.156%  [Acc@5]: 32.812%  [Loss]: 3.70108.
*[Iter]: 085 [Acc@1]: 5.469%  [Acc@5]: 28.906%  [Loss]: 3.84488.
*[Iter]: 086 [Acc@1]: 6.250%  [Acc@5]: 32.031%  [Loss]: 3.87925.
*[Iter]: 087 [Acc@1]: 12.500%  [Acc@5]: 35.938%  [Loss]: 3.65366.
*[Iter]: 088 [Acc@1]: 7.812%  [Acc@5]: 30.469%  [Loss]: 3.88988.
*[Iter]: 089 [Acc@1]: 10.156%  [Acc@5]: 31.250%  [Loss]: 3.75096.
*[Iter]: 090 [Acc@1]: 10.938%  [Acc@5]: 38.281%  [Loss]: 3.60019.
*[Iter]: 091 [Acc@1]: 12.500%  [Acc@5]: 36.719%  [Loss]: 3.63723.
*[Iter]: 092 [Acc@1]: 15.625%  [Acc@5]: 37.500%  [Loss]: 3.71478.
*[Iter]: 093 [Acc@1]: 14.062%  [Acc@5]: 38.281%  [Loss]: 3.81403.
*[Iter]: 094 [Acc@1]: 10.938%  [Acc@5]: 35.938%  [Loss]: 3.73488.
*[Iter]: 095 [Acc@1]: 10.938%  [Acc@5]: 33.594%  [Loss]: 3.62662.
*[Iter]: 096 [Acc@1]: 7.031%  [Acc@5]: 33.594%  [Loss]: 3.94653.
*[Iter]: 097 [Acc@1]: 5.469%  [Acc@5]: 25.000%  [Loss]: 3.93117.
*[Iter]: 098 [Acc@1]: 7.031%  [Acc@5]: 28.125%  [Loss]: 3.91645.
*[Iter]: 099 [Acc@1]: 8.594%  [Acc@5]: 30.469%  [Loss]: 3.85862.
*[Iter]: 100 [Acc@1]: 14.062%  [Acc@5]: 30.469%  [Loss]: 3.87020.
*[Iter]: 101 [Acc@1]: 15.625%  [Acc@5]: 41.406%  [Loss]: 3.53865.
*[Iter]: 102 [Acc@1]: 12.500%  [Acc@5]: 34.375%  [Loss]: 3.77182.
*[Iter]: 103 [Acc@1]: 13.281%  [Acc@5]: 35.938%  [Loss]: 3.84516.
*[Iter]: 104 [Acc@1]: 8.594%  [Acc@5]: 28.906%  [Loss]: 3.94908.
*[Iter]: 105 [Acc@1]: 8.594%  [Acc@5]: 23.438%  [Loss]: 4.00945.
*[Iter]: 106 [Acc@1]: 10.156%  [Acc@5]: 29.688%  [Loss]: 3.88178.
*[Iter]: 107 [Acc@1]: 13.281%  [Acc@5]: 31.250%  [Loss]: 3.80296.
*[Iter]: 108 [Acc@1]: 9.375%  [Acc@5]: 32.031%  [Loss]: 3.73867.
*[Iter]: 109 [Acc@1]: 10.156%  [Acc@5]: 28.906%  [Loss]: 3.74188.
*[Iter]: 110 [Acc@1]: 9.375%  [Acc@5]: 32.031%  [Loss]: 3.84171.
*[Iter]: 111 [Acc@1]: 10.938%  [Acc@5]: 31.250%  [Loss]: 3.90268.
*[Iter]: 112 [Acc@1]: 10.156%  [Acc@5]: 23.438%  [Loss]: 3.93323.
*[Iter]: 113 [Acc@1]: 10.938%  [Acc@5]: 31.250%  [Loss]: 3.79299.
